,topic,quesiton
5920,Generate me a calculus question on Fundamentals_of_Differentiation,Find the derivative of f(x) = 3x^2 + 5x - 7.
5921,Generate me a calculus question on Fundamentals_of_Differentiation,"Evaluate the derivative of g(x) at x = 2, where g(x) = sin(x) + cos(x)."
5922,Generate me a calculus question on Fundamentals_of_Differentiation,"Given the function h(x) = e^x, find the second derivative at x = 4."
5923,Generate me a calculus question on Fundamentals_of_Differentiation,"A ladder 10 meters long is leaning against a wall. If the bottom of the ladder is sliding away from the wall at a rate of 2 m/s, how fast is the top of the ladder sliding down the wall when the ladder makes an angle of 45 degrees with the ground?"
5924,Generate me a calculus question on Fundamentals_of_Differentiation,"If f(x) = √(x+1), find f'(x)."
5925,Generate me a calculus question on Fundamentals_of_Differentiation,"A particle moves along a curve given by y = x^3 - 9x + 5. Find the slope of the tangent line to the curve at the point (2, 3)."
5926,Generate me a calculus question on Fundamentals_of_Differentiation,"Find the maximum and minimum values of the function f(x) = x^2 - 8x + 12 on the interval [1, 5]."
5927,Generate me a calculus question on Fundamentals_of_Differentiation,"Given the equation y = ln(2x), find the points on the curve where the tangent line is parallel to the x-axis."
5928,Generate me a calculus question on Fundamentals_of_Differentiation,"A window has the shape of a semi-circle above a rectangle. If the perimeter of the window is 10 feet, what dimensions maximize the window's area?"
5929,Generate me a calculus question on Fundamentals_of_Differentiation,"The demand for a certain product is given by p = 100(1-0.01x)^2, where p is the price (in dollars) and x is the number of units demanded. Find the rate of change of the demand with respect to price when p = 50."
5930,Generate me a calculus question on Fundamentals_of_Differentiation,Find the derivative of x^3 + 5x^2 + 2x - 7.
5931,Generate me a calculus question on Fundamentals_of_Differentiation,"Determine the equation of the tangent line to the curve y = 3x^2 + 4x - 6 at the point (2,16)."
5932,Generate me a calculus question on Fundamentals_of_Differentiation,Calculate the derivative of sin(x) + cos(x).
5933,Generate me a calculus question on Fundamentals_of_Differentiation,"Find the maximum value of the function f(x) = x^2 + 4x + 7 on the interval [0,5]."
5934,Generate me a calculus question on Fundamentals_of_Differentiation,"If f(x) = x^2 + 3x, what is the value of f'(2)?"
5935,Generate me a calculus question on Fundamentals_of_Differentiation,Find the rate of change of the volume of a cube with respect to its side length at the moment when the side length is 2 cm.
5936,Generate me a calculus question on Fundamentals_of_Differentiation,"The position of an object moving along a straight line is given by s(t) = 5t^2 + 2t + 3, where t is time in seconds. Find the acceleration of the object after 3 seconds."
5937,Generate me a calculus question on Fundamentals_of_Differentiation,"The profit function for a company is given by P(x) = 500x - 25x^2, where x is the number of units sold. What is the maximum profit the company can make and how many units should be sold to achieve this?"
5938,Generate me a calculus question on Fundamentals_of_Differentiation,"Given the function f(x) = 4x^3 - 12x, find the point on the graph where the tangent line is parallel to the x-axis."
5939,Generate me a calculus question on Fundamentals_of_Differentiation,A ball is thrown in the air with a velocity of 30 m/s from a height of 12 meters. What is the maximum height the ball will reach and at what time does it reach this height?
5940,Generate me a calculus question on Fundamentals_of_Differentiation,Find the derivative of f(x) = 3x^2 - 4x + 2
5941,Generate me a calculus question on Fundamentals_of_Differentiation,"Given the equation f(x) = x^2 + 5x + 2, find the point(s) where the tangent line is parallel to the x-axis."
5942,Generate me a calculus question on Fundamentals_of_Differentiation,Find the second derivative of the function g(x) = 4x^3 - 6x^2 + 8x.
5943,Generate me a calculus question on Fundamentals_of_Differentiation,"If the slope of a tangent line to the curve y = (x^2 + 3)^3 at the point (2, 27) is 8, what is the equation of the tangent line?"
5944,Generate me a calculus question on Fundamentals_of_Differentiation,Find the derivative of the function h(x) = 5e^x.
5945,Generate me a calculus question on Fundamentals_of_Differentiation,The position of an object at time t is given by s(t) = 3t^2 - 6t + 4. What is the velocity of the object at t = 3 seconds?
5946,Generate me a calculus question on Fundamentals_of_Differentiation,"Find the equation of the tangent line to the curve y = x^3 - 2x^2 + 4 at the point (1, 3)."
5947,Generate me a calculus question on Fundamentals_of_Differentiation,"If f(x) = 4x^2 + 2x - 5, find the critical points and determine whether they are local maximums or minimum."
5948,Generate me a calculus question on Fundamentals_of_Differentiation,Find the derivative of the logarithmic function f(x) = ln(x^2 + 1).
5949,Generate me a calculus question on Fundamentals_of_Differentiation,"In an elastic collision, the total momentum before the collision equals the total momentum after the collision. Using the quotient rule, determine the relationship between the velocities of the two objects in an elastic collision."
5950,Generate me a calculus question on Fundamentals_of_Differentiation,Find the derivative of the function f(x) = 3x^2 + 5x - 2.
5951,Generate me a calculus question on Fundamentals_of_Differentiation,"Given the function g(x) = 2x^3 - x^2 + 4x, determine the slope of the tangent line at x = 2."
5952,Generate me a calculus question on Fundamentals_of_Differentiation,"A ball is dropped from the top of a building. If its height after t seconds is given by h(t) = -16t^2 + 100, find its velocity and acceleration after 2 seconds."
5953,Generate me a calculus question on Fundamentals_of_Differentiation,"Find the equation of the tangent line to the curve y = x^3 + 2x^2 - 5x + 1 at the point (2, 9)."
5954,Generate me a calculus question on Fundamentals_of_Differentiation,"Given the function h(x) = (2x - 1)^4, find the value of its fifth derivative at x = 3."
5955,Generate me a calculus question on Fundamentals_of_Differentiation,Find the maximum and minimum points of the function f(x) = x^2 - 6x + 8.
5956,Generate me a calculus question on Fundamentals_of_Differentiation,Differentiate the function f(x) = sin(2x) with respect to x.
5957,Generate me a calculus question on Fundamentals_of_Differentiation,"A snowball is melting at a rate of 5 cm^3/min. If its volume is given by V(t) = 100 - 2t^3, where t is the time in minutes, at what rate is its radius changing after 4 minutes?"
5958,Generate me a calculus question on Fundamentals_of_Differentiation,"If y = 3x^2 + 5x - 1, find the value of dy/dx at x = 2."
5959,Generate me a calculus question on Fundamentals_of_Differentiation,"A ladder is leaning against a wall with its top at a height of 10 meters. If the bottom of the ladder is sliding away from the wall at a rate of 2 m/s, how fast is the top of the ladder sliding down the wall when it is 12 meters away from the wall?"
5960,Generate me a calculus question on Fundamentals_of_Differentiation,1. What is the derivative of f(x) = x^2 + 2x at x=3?
5961,Generate me a calculus question on Fundamentals_of_Differentiation,"2. Find the slope of the tangent line to the curve y = 2x^3 - 4x at the point (1, -2)."
5962,Generate me a calculus question on Fundamentals_of_Differentiation,"3. If g(x) = 3x^4 - 5x^2 + 6x, what is g'(x)?"
5963,Generate me a calculus question on Fundamentals_of_Differentiation,4. A particle moves along the x-axis according to the equation x(t) = t^2 - 3t + 2. What is the velocity of the particle at t = 1?
5964,Generate me a calculus question on Fundamentals_of_Differentiation,5. Find the critical points of the function h(x) = 3x^2 - 6x + 4.
5965,Generate me a calculus question on Fundamentals_of_Differentiation,"6. Given the function f(x) = 4x^3 + 2x^2 - 5x + 1, what is the value of f'(1)?"
5966,Generate me a calculus question on Fundamentals_of_Differentiation,7. At what value(s) of x does the function y = x^3 - 9x^2 + 24x have a local maximum or minimum?
5967,Generate me a calculus question on Fundamentals_of_Differentiation,8. Calculate the second derivative of the function d(x) = 5x^4 + 3x^3 - 2x^2 + 1.
5968,Generate me a calculus question on Fundamentals_of_Differentiation,9. Determine the intervals on which the function g(x) = x^3 - 12x^2 + 36x is increasing and decreasing.
5969,Generate me a calculus question on Fundamentals_of_Differentiation,"10. If the position of an object moving along the x-axis is given by s(t) = t^3 - 5t^2 + 4t + 1, what is the acceleration of the object at t = 2?"
5970,Generate me a calculus question on Fundamentals_of_Differentiation,Find the derivative of the function f(x) = 3x^3 + 2x^2 - 7x + 1.
5971,Generate me a calculus question on Fundamentals_of_Differentiation,"Determine the equation of the tangent line to the curve y = x^2 + 4x - 2 at the point (2,-2)."
5972,Generate me a calculus question on Fundamentals_of_Differentiation,Calculate the derivative of the logarithmic function f(x) = ln(x^2 + 1).
5973,Generate me a calculus question on Fundamentals_of_Differentiation,If f(x) = sin(x^2) then what is f '(x)?
5974,Generate me a calculus question on Fundamentals_of_Differentiation,Find the critical points of the function g(x) = x^4 - 3x^2 + 2.
5975,Generate me a calculus question on Fundamentals_of_Differentiation,"If the position of an object at time t is given by s(t) = t^3 - 5t, what is the object's velocity at t = 2?"
5976,Generate me a calculus question on Fundamentals_of_Differentiation,Determine the domain of the function h(x) = (2x^2 + 1)/(x - 3).
5977,Generate me a calculus question on Fundamentals_of_Differentiation,"Given that f(x) = xe^x, find f '(x)."
5978,Generate me a calculus question on Fundamentals_of_Differentiation,"Find the maximum and minimum values of the function p(x) = 3x^2 - 12x + 9 on the interval [-2,5]."
5979,Generate me a calculus question on Fundamentals_of_Differentiation,"If x^2 + y^2 = 25, find the slope of the tangent line to the curve at the point (3,4)."
5980,Generate me a calculus question on Fundamentals_of_Differentiation,Find the derivative of f(x) = 3x^2 + 4x
5981,Generate me a calculus question on Fundamentals_of_Differentiation,"What is the slope of the tangent line to the curve y = 2x^3 - 5x + 1 at the point (2, 9)?"
5982,Generate me a calculus question on Fundamentals_of_Differentiation,Differentiate the function f(x) = (sin x)^2
5983,Generate me a calculus question on Fundamentals_of_Differentiation,For what value(s) of x does the derivative of f(x) = x^3 + 2x^2 equal 0?
5984,Generate me a calculus question on Fundamentals_of_Differentiation,"Given the graph of f(x), find the general form of its derivative."
5985,Generate me a calculus question on Fundamentals_of_Differentiation,Find the second derivative of f(x) = 4x^3 - 6x^2 + 2x + 5.
5986,Generate me a calculus question on Fundamentals_of_Differentiation,What is the instantaneous rate of change of y = x^2 - 3x + 2 when x = 2?
5987,Generate me a calculus question on Fundamentals_of_Differentiation,"Find the value of c that satisfies the Mean Value Theorem for f(x) = 5x^2 + 6x + 3 on the interval [0, 5]."
5988,Generate me a calculus question on Fundamentals_of_Differentiation,"If f(x) = 2x - ln x, what is the value of x that maximizes f(x)?"
5989,Generate me a calculus question on Fundamentals_of_Differentiation,Use the Power Rule to differentiate f(x) = (9x^3 + 4x)^4.
5990,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite geometric series $\sum_{n=0}^{\infty} \frac{3}{4^n}$.
5991,Generate me a calculus question on Infinite_Sequences_and_Series,Calculate the radius of convergence for the power series $\sum_{n=0}^{\infty} \frac{x^n}{n^2}$.
5992,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the infinite series $\sum_{n=1}^{\infty} \frac{1}{n}$ diverges.
5993,Generate me a calculus question on Infinite_Sequences_and_Series,Find the interval of convergence for the Taylor series of $f(x) = \frac{1}{1-x}$ about $x=0$.
5994,Generate me a calculus question on Infinite_Sequences_and_Series,Find the limit of the sequence $(a_n) = \frac{n}{3n+2}$ as $n$ approaches infinity.
5995,Generate me a calculus question on Infinite_Sequences_and_Series,Test the series $\sum_{n=1}^{\infty} \frac{n^3+4n+1}{n^4-n}$ for convergence or divergence.
5996,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum $\sum_{n=0}^{\infty} \frac{(-1)^n}{3^n}$ using the alternating series test.
5997,Generate me a calculus question on Infinite_Sequences_and_Series,Find the general term for the Taylor series of $f(x) = e^{2x}$ about $x=1$.
5998,Generate me a calculus question on Infinite_Sequences_and_Series,Determine if the series $\sum_{n=1}^{\infty} \frac{1}{\sqrt{n(n+1)}}$ converges or diverges.
5999,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence for the Maclaurin series of $f(x) = \sin(3x)$.
6000,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite geometric series: 2+6+18+...
6001,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the convergence or divergence of the series: 1/2 + 1/3 + 1/4 + ...
6002,Generate me a calculus question on Infinite_Sequences_and_Series,What is the value of the telescoping series: 1/2 + 1/6 + 1/12 + ... + 1/n(n+1) + ...
6003,Generate me a calculus question on Infinite_Sequences_and_Series,Find the value of x that satisfies the equation: lim n-> ∞ ∑ x^n/n! = e
6004,Generate me a calculus question on Infinite_Sequences_and_Series,"Using the integral test, determine the convergence or divergence of the series: ∑ 1/n^2 + n"
6005,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence for the power series: ∑ n^n*x^n/n!
6006,Generate me a calculus question on Infinite_Sequences_and_Series,Prove the convergence of the alternating harmonic series: ∑ (-1)^n/n
6007,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Taylor series expansion for the function f(x) = ln(x) centered at x = 1
6008,Generate me a calculus question on Infinite_Sequences_and_Series,"Using the ratio test, determine the convergence or divergence of the series: ∑ n!/n^n"
6009,Generate me a calculus question on Infinite_Sequences_and_Series,Evaluate the Maclaurin series for sin(x) up to x^6 terms
6010,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite series: ∑n=1 ∞ (1/2)^n
6011,Generate me a calculus question on Infinite_Sequences_and_Series,Prove or disprove: The infinite series ∑n=1 ∞ (1/n) diverges.
6012,Generate me a calculus question on Infinite_Sequences_and_Series,Find the limit as n approaches infinity of the sequence 1/n^2.
6013,Generate me a calculus question on Infinite_Sequences_and_Series,"Given the infinite series ∑n=1 ∞ (3^n / 2^n), determine whether it converges or diverges."
6014,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence for the power series ∑n=0 ∞ (x^n / n!).
6015,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the interval of convergence for the power series ∑n=1 ∞ ((-1)^n / n) (x+3)^n.
6016,Generate me a calculus question on Infinite_Sequences_and_Series,Use the ratio test to determine the convergence of the infinite series ∑n=1 ∞ (n^2 / (n+1)^3).
6017,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Maclaurin series representation of f(x) = ln(1+x).
6018,Generate me a calculus question on Infinite_Sequences_and_Series,"Given the recursive sequence a1 = 1 and an = (an-1)^2 for n ≥ 2, find the limit as n approaches infinity."
6019,Generate me a calculus question on Infinite_Sequences_and_Series,Use the integral test to determine the convergence of the infinite series ∑n=1 ∞ (e^(-n) / n^2).
6020,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite geometric series 1 + 1/4 + 1/16 + ...
6021,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the radius of convergence for the power series Σ(n=1 to ∞) (x^n/n^2).
6022,Generate me a calculus question on Infinite_Sequences_and_Series,"Given the sequence a_n = n/(n+1), find lim(a_n) as n approaches infinity."
6023,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the alternating series Σ(n=1 to ∞) (-1)^n/n converges.
6024,Generate me a calculus question on Infinite_Sequences_and_Series,Use the integral test to determine the convergence or divergence of the series Σ(n=1 to ∞) (1+2/n)/n^2.
6025,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Maclaurin series for sin(x) and determine its radius of convergence.
6026,Generate me a calculus question on Infinite_Sequences_and_Series,Prove that the series Σ(n=1 to ∞) n/(3^n) is convergent using the ratio test.
6027,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Taylor series for ln(x) centered at x=1 and determine its radius of convergence.
6028,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the series sum(n=1 to ∞) 1/(n^2 + 1) is convergent using the comparison test.
6029,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite series Σ(n=1 to ∞) (1/2)^n.
6030,Generate me a calculus question on Infinite_Sequences_and_Series,Find the first five terms of the geometric sequence defined by a<sub>n</sub> = (-2)<sup>n</sup>.
6031,Generate me a calculus question on Infinite_Sequences_and_Series,Calculate the limit lim<sub>n→∞</sub> (n/ (n+1)).
6032,Generate me a calculus question on Infinite_Sequences_and_Series,Determine whether the series ∑<sub>n = 1</sub><sup>∞</sup> (2n + 1)/(3n<sup>2</sup>) is convergent or divergent.
6033,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Maclaurin series expansion for f(x) = e<sup>x</sup>.
6034,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the radius of convergence for the power series ∑<sub>n = 0</sub><sup>∞</sup> (n+1)x<sup>n</sup>.
6035,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the series ∑<sub>n = 1</sub><sup>∞</sup> (π/4)<sup>n</sup>.
6036,Generate me a calculus question on Infinite_Sequences_and_Series,"Given the sequence {a<sub>n</sub>} where a<sub>n</sub> = (n<sup>2</sup>-1)/(n+2), determine whether the sequence converges or diverges."
6037,Generate me a calculus question on Infinite_Sequences_and_Series,Evaluate the integral ∫<sub>0</sub><sup>1</sup> e<sup>2x</sup> dx using the infinite series definition of e<sup>x</sup>.
6038,Generate me a calculus question on Infinite_Sequences_and_Series,"If a divergent sequence has a partial sum Sn = 4n<sup>3</sup> + 2n - 5, find lim<sub>n→∞</sub> Sn/n."
6039,Generate me a calculus question on Infinite_Sequences_and_Series,Find the ratio and root tests for the series ∑<sub>n = 1</sub><sup>∞</sup> (2n<sup>2</sup> + 5)/(n<sup>3</sup> + 1).
6040,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the geometric series 4 + 8 + 16 + 32 + ...
6041,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the convergence of the series 3 + 6 + 12 + 24 + ...
6042,Generate me a calculus question on Infinite_Sequences_and_Series,Evaluate the series ∑(2n-1)/n from n=1 to infinity
6043,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the series 1 + 1/2 + 1/3 + 1/4 + ... diverges.
6044,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence and interval of convergence for the power series ∑(x^n)/n from n=1 to infinity
6045,Generate me a calculus question on Infinite_Sequences_and_Series,Prove that the alternating series (-1)^n/n converges using the alternating series test.
6046,Generate me a calculus question on Infinite_Sequences_and_Series,Evaluate the integral ∫(1+x)^n with respect to x using the geometric series.
6047,Generate me a calculus question on Infinite_Sequences_and_Series,"Using the ratio test, determine if the series ∑(n^2)/3^n converges or diverges."
6048,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Maclaurin series representation for sin(x).
6049,Generate me a calculus question on Infinite_Sequences_and_Series,Determine if the series 1/ln(n) from n=2 to infinity converges or diverges.
6050,Generate me a calculus question on Infinite_Sequences_and_Series,"Find the limit of the recursive sequence {an} defined by a1 = 1, an+1 = 1 + 1/an."
6051,Generate me a calculus question on Infinite_Sequences_and_Series,Determine whether the series ∑ n=1 to infinity (1/2)^n converges or diverges.
6052,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence and interval of convergence for the power series ∑ n=1 to infinity x^n/n^2.
6053,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the alternating series ∑ n=1 to infinity (-1)^(n+1)(5/n) converges using the Alternating Series Test.
6054,Generate me a calculus question on Infinite_Sequences_and_Series,Use the Ratio Test to determine the convergence or divergence of the series ∑ n=1 to infinity (2^n)/n^2.
6055,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Maclaurin series for ln(x) and determine its interval of convergence.
6056,Generate me a calculus question on Infinite_Sequences_and_Series,"Given the infinite series ∑ n=1 to infinity (n^2 + 2n)/(3n^3 + 4n), determine whether it converges or diverges."
6057,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite series ∑ n=1 to infinity (1/3)^n.
6058,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the convergence or divergence of the series ∑ n=1 to infinity (n+1)/(2n^2 + 1) using the Direct Comparison Test.
6059,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence and sum of the infinite series ∑ n=0 to infinity (2^n)/(n!) - 1.
6060,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the convergence or divergence of the infinite series: $\sum_{n=0}^{\infty} \frac{1}{n^2+3}$.
6061,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the geometric series: $\sum_{n=1}^{\infty} \frac{2^n}{3^n}$.
6062,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the alternating harmonic series is convergent.
6063,Generate me a calculus question on Infinite_Sequences_and_Series,Calculate the value of the convergent infinite series: $\sum_{n=1}^{\infty} 3^n \left( \frac{1}{4} \right)^n$.
6064,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the radius of convergence for the power series: $\sum_{n=0}^{\infty} \frac{(x-1)^n}{n!}$.
6065,Generate me a calculus question on Infinite_Sequences_and_Series,Prove that the infinite series: $\sum_{n=0}^{\infty} \frac{n^2}{2^n}$ is convergent.
6066,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Maclaurin series representation for the function $f(x) = \frac{1}{1-3x}$.
6067,Generate me a calculus question on Infinite_Sequences_and_Series,Use the integral test to determine the convergence or divergence of the infinite series: $\sum_{n=0}^{\infty} \frac{1}{n^2+1}$.
6068,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the convergence or divergence of the infinite series: $\sum_{n=1}^{\infty} \frac{n^2}{e^n}$.
6069,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Taylor polynomial of degree 5 for the function $f(x) = \sin(x)$ centered at $a=\pi/6$.
6070,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite series: 1 + 1/2 + 1/4 + 1/6 + ...
6071,Generate me a calculus question on Infinite_Sequences_and_Series,Determine if the series 1 + 1/4 + 1/16 + 1/64 + ... converges or diverges.
6072,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence and interval of convergence for the power series x + x^2/2 + x^3/3 + ...
6073,Generate me a calculus question on Infinite_Sequences_and_Series,Calculate the limit of n sin(1/n) as n approaches infinity.
6074,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the geometric series 2 + 1/2 + 1/4 + 1/8 + ... converges to 4.
6075,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Maclaurin series for e^x.
6076,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the convergence or divergence of the series (n+1)/3^n.
6077,Generate me a calculus question on Infinite_Sequences_and_Series,Find the closed form of the infinite series 1 + x + x^2 + x^3 + ...
6078,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the Taylor series for sin(x) converges to the function for all real numbers.
6079,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite series: 1/(n(n+1)).
6080,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite geometric series: 2 + 4 + 8 + 16 + ...
6081,Generate me a calculus question on Infinite_Sequences_and_Series,Determine whether the infinite series 1/(n^2) converges or diverges.
6082,Generate me a calculus question on Infinite_Sequences_and_Series,Evaluate the limit of (n+2)^2 / (n+1)^2 as n approaches infinity.
6083,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the Taylor series expansion of sin(x) is equal to its Maclaurin series expansion.
6084,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence of the infinite power series: 1 + x + (x^2)/2! + (x^3)/3! + ...
6085,Generate me a calculus question on Infinite_Sequences_and_Series,Prove that the infinite series 1 + 1/2 + 1/4 + 1/8 + ... is convergent.
6086,Generate me a calculus question on Infinite_Sequences_and_Series,Find the value of x such that the infinite series 1 + x + (x^2)/2! + (x^3)/3! + ... converges.
6087,Generate me a calculus question on Infinite_Sequences_and_Series,Show that the harmonic series 1 + 1/2 + 1/3 + 1/4 + ... is a divergent infinite series.
6088,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite series: 4 + 2 + 1 + 1/2 + 1/4 + ...
6089,Generate me a calculus question on Infinite_Sequences_and_Series,Use the integral test to determine whether the infinite series (n^3 + 2n) / (n^4 + n^2 + 3) converges or diverges.
6090,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite geometric series 3 + 1 + 1/3 + 1/9 + ...
6091,Generate me a calculus question on Infinite_Sequences_and_Series,Evaluate the limit as n approaches infinity of the sequence 1/n^2
6092,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the radius of convergence for the Taylor series of ln(x) centered at x = 2
6093,Generate me a calculus question on Infinite_Sequences_and_Series,Find the Maclaurin series for sin(x) and determine its convergence interval
6094,Generate me a calculus question on Infinite_Sequences_and_Series,"Using the integral test, show whether the series 1/(n^2 + 1) converges or diverges"
6095,Generate me a calculus question on Infinite_Sequences_and_Series,Find the nth partial sum of the harmonic series 1 + 1/2 + 1/3 + ...
6096,Generate me a calculus question on Infinite_Sequences_and_Series,Use the ratio test to determine the convergence or divergence of the series 5^(n+1)/n!
6097,Generate me a calculus question on Infinite_Sequences_and_Series,Find the interval of convergence for the power series x + x^2 + (x^3)/2 + (x^4)/3 + ...
6098,Generate me a calculus question on Infinite_Sequences_and_Series,Find the inflection points of the function f(x) = ln(cos(x))
6099,Generate me a calculus question on Infinite_Sequences_and_Series,"Given the convergent series 1 + 1/2 + 1/4 + 1/8 + ..., find its sum and determine its associated limit."
6100,Generate me a calculus question on Infinite_Sequences_and_Series,Find the value of the infinite series: 1/2 + 1/4 + 1/8 + ...
6101,Generate me a calculus question on Infinite_Sequences_and_Series,Determine a geometric series with common ratio 2 and first term 3 that has a sum of 12.
6102,Generate me a calculus question on Infinite_Sequences_and_Series,A geometric series has a sum of 75 and a common ratio of 1/3. Find the first term.
6103,Generate me a calculus question on Infinite_Sequences_and_Series,"The sequence 1, 2, 4, 8, ... is known as a geometric sequence. What is the explicit formula for the nth term?"
6104,Generate me a calculus question on Infinite_Sequences_and_Series,"Given the series 1 + 1/2 + 1/3 + ..., find the sum of the first 10 terms."
6105,Generate me a calculus question on Infinite_Sequences_and_Series,What is the radius of convergence for the power series expansion of sin x centered at x = 0?
6106,Generate me a calculus question on Infinite_Sequences_and_Series,Find the value of the infinite series: 1 - 1/4 + 1/9 - 1/16 + ...
6107,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the sum of the infinite series: 3 + 6 + 12 + 24 + ...
6108,Generate me a calculus question on Infinite_Sequences_and_Series,What is the limit as x approaches infinity of the sequence (3x+1)/(x+5)?
6109,Generate me a calculus question on Infinite_Sequences_and_Series,Find the value of the infinite series: 1 + 1/3 + 1/9 + 1/27 + ...
6110,Generate me a calculus question on Infinite_Sequences_and_Series,"Find the limit of the infinite sequence (2, 4, 6, 8, 10, ...)."
6111,Generate me a calculus question on Infinite_Sequences_and_Series,Determine whether the series 1/2 + 1/4 + 1/8 + 1/16 + ... converges or diverges.
6112,Generate me a calculus question on Infinite_Sequences_and_Series,What is the sum of the infinite geometric series 5 + 10 + 20 + 40 + ... ?
6113,Generate me a calculus question on Infinite_Sequences_and_Series,"Find a formula for the nth term of the infinite sequence 1, 1/2, 1/3, 1/4, ..."
6114,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the convergence of the series 1 + 1/2 + 1/4 + 1/8 + ... .
6115,Generate me a calculus question on Infinite_Sequences_and_Series,Calculate the value of the infinite series 1/3 + 2/9 + 4/27 + 8/81 + ... .
6116,Generate me a calculus question on Infinite_Sequences_and_Series,Prove that the infinite series 1/2 + 1/4 + 1/6 + 1/8 + ... is divergent.
6117,Generate me a calculus question on Infinite_Sequences_and_Series,"Find the limit of the infinite sequence (1/2, -1/4, 1/8, -1/16, ...)"
6118,Generate me a calculus question on Infinite_Sequences_and_Series,Evaluate the infinite series 1/2 + 2/9 + 3/27 + 4/81 + ... .
6119,Generate me a calculus question on Infinite_Sequences_and_Series,Determine the radius of convergence of the power series 1 + x + x^2 + x^3 + ... .
6120,Generate me a calculus question on Infinite_Sequences_and_Series,"Determine the convergence or divergence of the sequence {1, 1/2, 1/3, 1/4, ...}."
6121,Generate me a calculus question on Infinite_Sequences_and_Series,Find the sum of the infinite geometric series with first term 3 and common ratio 1/2.
6122,Generate me a calculus question on Infinite_Sequences_and_Series,"Using the integral test, determine the convergence or divergence of the series ∑(1/n^2) from n=1 to ∞."
6123,Generate me a calculus question on Infinite_Sequences_and_Series,Find the radius of convergence for the power series ∑(x^n/n^2) from n=1 to ∞.
6124,Generate me a calculus question on Infinite_Sequences_and_Series,"If the first three terms of a series are 1, 1/2, and 1/3, what can be said about the long-term behavior of the series?"
6125,Generate me a calculus question on Infinite_Sequences_and_Series,Find the value of x that makes the series ∑(x^n/n) from n=1 to ∞ converge.
6126,Generate me a calculus question on Infinite_Sequences_and_Series,"Using the ratio test, determine the convergence or divergence of the series ∑(n!/n^n) from n=1 to ∞."
